Date,Sales,Cost Of Sales,Quantity Sold,daily_sale_price,Sale_YEAR,Sale_MONTH,Sale_DAY_OF_MONTH,Sale_DAY_NAME,DAY_OF_WEEK_CLASSIFICATION
2013-12-30,223937.9679,230079.621,6827,223937.9679,2013,December,30,Monday,WEEKDAY
2013-12-31,300345.4846,306986.1205,9268,300345.4846,2013,December,31,Tuesday,WEEKDAY
2014-01-01,86782.46773,87986.31821,2678,86782.46773,2014,January,1,Wednesday,WEEKDAY
2014-01-02,200173.1168,202881.1777,6175,200173.1168,2014,January,2,Thursday,WEEKDAY
2014-01-03,326906.0742,333806.2919,10084,326906.0742,2014,January,3,Friday,WEEKDAY
2014-01-04,307043.9354,313652.3483,9470,307043.9354,2014,January,4,Saturday,WEEKEND
2014-01-05,179188.8845,183083.285,5524,179188.8845,2014,January,5,Sunday,WEEKEND
2014-01-06,306351.9509,313446.0681,9448,306351.9509,2014,January,6,Monday,WEEKDAY
2014-01-07,224020.41,229533.9737,6911,224020.41,2014,January,7,Tuesday,WEEKDAY
2014-01-08,101836.4022,99381.96752,2990,101836.4022,2014,January,8,Wednesday,WEEKDAY
2014-01-09,107804.3049,104816.4585,3159,107804.3049,2014,January,9,Thursday,WEEKDAY
2014-01-10,144829.9567,141333.9963,4246,144829.9567,2014,January,10,Friday,WEEKDAY
2014-01-11,146571.4824,143179.67,4297,146571.4824,2014,January,11,Saturday,WEEKEND
2014-01-12,95422.37298,93126.14724,2796,95422.37298,2014,January,12,Sunday,WEEKEND
2014-01-13,114883.1738,112186.3087,3369,114883.1738,2014,January,13,Monday,WEEKDAY
2014-01-14,80090.80008,78096.76018,2348,80090.80008,2014,January,14,Tuesday,WEEKDAY
2014-01-15,98945.37116,97159.00259,2903,98945.37116,2014,January,15,Wednesday,WEEKDAY
2014-01-16,84904.90171,83350.43316,2491,84904.90171,2014,January,16,Thursday,WEEKDAY
2014-01-17,135460.6197,132703.3354,3968,135460.6197,2014,January,17,Friday,WEEKDAY
2014-01-18,149925.7497,146928.4118,4393,149925.7497,2014,January,18,Saturday,WEEKEND
2014-01-19,74297.30718,72782.28432,2176,74297.30718,2014,January,19,Sunday,WEEKEND
2014-01-20,83356.42456,81789.13612,2443,83356.42456,2014,January,20,Monday,WEEKDAY
2014-01-21,89922.01429,88388.91607,2638,89922.01429,2014,January,21,Tuesday,WEEKDAY
2014-01-22,57806.30278,57157.28254,1704,57806.30278,2014,January,22,Wednesday,WEEKDAY
2014-01-23,63977.75035,62863.98724,1872,63977.75035,2014,January,23,Thursday,WEEKDAY
2014-01-24,116958.7998,114823.7952,3423,116958.7998,2014,January,24,Friday,WEEKDAY
2014-01-25,155272.8248,152636.2766,4544,155272.8248,2014,January,25,Saturday,WEEKEND
2014-01-26,82885.21591,81583.16695,2426,82885.21591,2014,January,26,Sunday,WEEKEND
2014-01-27,72353.42588,71377.15646,2117,72353.42588,2014,January,27,Monday,WEEKDAY
2014-01-28,50415.90376,49769.09824,1476,50415.90376,2014,January,28,Tuesday,WEEKDAY
2014-01-29,67458.30189,66529.442,1974,67458.30189,2014,January,29,Wednesday,WEEKDAY
2014-01-30,64640.36931,63757.83987,1892,64640.36931,2014,January,30,Thursday,WEEKDAY
2014-01-31,137693.8735,135609.5076,4030,137693.8735,2014,January,31,Friday,WEEKDAY
2014-02-01,181209.1285,178435.7153,5304,181209.1285,2014,February,1,Saturday,WEEKEND
2014-02-02,113433.581,111466.5168,3320,113433.581,2014,February,2,Sunday,WEEKEND
2014-02-03,143192.5334,140505.6347,4191,143192.5334,2014,February,3,Monday,WEEKDAY
2014-02-04,130126.6499,128496.2877,3809,130126.6499,2014,February,4,Tuesday,WEEKDAY
2014-02-05,187155.8685,195078.6033,5764,187155.8685,2014,February,5,Wednesday,WEEKDAY
2014-02-06,102314.7096,101977.99,3028,102314.7096,2014,February,6,Thursday,WEEKDAY
2014-02-07,301553.8426,313529.1877,9284,301553.8426,2014,February,7,Friday,WEEKDAY
2014-02-08,316073.1775,329754.7795,9737,316073.1775,2014,February,8,Saturday,WEEKEND
2014-02-09,135178.0426,141530.7087,4163,135178.0426,2014,February,9,Sunday,WEEKEND
2014-02-10,147727.5162,154828.6846,4552,147727.5162,2014,February,10,Monday,WEEKDAY
2014-02-11,135498.7464,139824.1616,4172,135498.7464,2014,February,11,Tuesday,WEEKDAY
